"","Year","Variety","SD","Soil","Mngt","max_value_GY","max_value_lai"
"239",2002,"C2","15/10","DSrain6mm","Rainfed_true",1994.62647271855,2.93191714063762
"240",2002,"C2","15/10","DSrain6mm","Transplanting",1881.24468966061,9.16512926167945
"241",2002,"C2","15/11","DSrain12mm","DSirrg",2776.83837413041,3.4869191174914
"242",2002,"C2","15/11","DSrain12mm","Rainfed",1716.24689465722,3.05222601909975
"243",2002,"C2","15/11","DSrain12mm","Rainfed_true",492.528287967411,2.89021459178416
"244",2002,"C2","15/11","DSrain12mm","Transplanting",2109.58502913779,10.1291065445625
"245",2002,"C2","15/11","DSrain3mm","DSirrg",2669.89142023485,3.27580755512848
"246",2002,"C2","15/11","DSrain3mm","Rainfed",2313.42732834057,3.29182657030004
"247",2002,"C2","15/11","DSrain3mm","Rainfed_true",493.870698935938,2.92633530570298
"248",2002,"C2","15/11","DSrain3mm","Transplanting",2058.30929126921,10.2322901095626
"249",2002,"C2","15/11","DSrain6mm","DSirrg",2662.63411685815,3.39864321928606
"250",2002,"C2","15/11","DSrain6mm","Rainfed",2116.55135476027,3.2857720604592
"251",2002,"C2","15/11","DSrain6mm","Rainfed_true",493.43994975665,2.91675954438427
"252",2002,"C2","15/11","DSrain6mm","Transplanting",2074.15745627715,10.1286570952137
"253",2002,"C2","15/12","DSrain12mm","DSirrg",407.987053163845,3.43432636997015
"254",2002,"C2","15/12","DSrain12mm","Rainfed",0.949316077415879,2.89880315832842
"255",2002,"C2","15/12","DSrain12mm","Rainfed_true",0.766084852752833,2.77631305068302
"256",2002,"C2","15/12","DSrain12mm","Transplanting",401.075295314733,10.8107090691872
"257",2002,"C2","15/12","DSrain3mm","DSirrg",535.326336516982,3.38679565082356
"258",2002,"C2","15/12","DSrain3mm","Rainfed",121.046500194925,3.28233352189663
"259",2002,"C2","15/12","DSrain3mm","Rainfed_true",0.76401921685559,2.80995590896088
"260",2002,"C2","15/12","DSrain3mm","Transplanting",405.234287286818,11.0950666701487
"261",2002,"C2","15/12","DSrain6mm","DSirrg",534.349055112414,3.42147641438675
"262",2002,"C2","15/12","DSrain6mm","Rainfed",67.878473856552,3.09174600274487
"263",2002,"C2","15/12","DSrain6mm","Rainfed_true",0.763805971586213,2.80518624045573
"264",2002,"C2","15/12","DSrain6mm","Transplanting",404.124035129165,10.9779838835543
"265",2002,"C3","01/01","DSrain12mm","DSirrg",422.976414225797,3.19692126323561
"266",2002,"C3","01/01","DSrain12mm","Rainfed",0.276670732700092,1.77484687468612
"267",2002,"C3","01/01","DSrain12mm","Rainfed_true",0.108316531927201,1.59647128334182
"268",2002,"C3","01/01","DSrain12mm","Transplanting",352.789810148948,13.104376786022
"269",2002,"C3","01/01","DSrain3mm","DSirrg",420.377790361813,3.17523408487651
"270",2002,"C3","01/01","DSrain3mm","Rainfed",0.338729851301215,2.24424240324548
"271",2002,"C3","01/01","DSrain3mm","Rainfed_true",0.117556659781153,1.66291340701112
"272",2002,"C3","01/01","DSrain3mm","Transplanting",347.360161741618,13.0246550759453
"273",2002,"C3","01/01","DSrain6mm","DSirrg",420.196562436392,3.16369372133825
